album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_comment_user,avg_date,m_over_xM,m_over_xM_rank,Primary Genre
Terrorizer-World-Downfall,7,7,1,73,0.0958904109589041,0.048241726065836564,0.038660070444416036,2016-04-01,4.177814857557629,120,Grind
Nile-Annihilation-of-the-Wicked,15,15,1,410,0.036585365853658534,0.02314869588189748,0.026421878517781775,2011-04-03,4.167029807709471,121,Death Metal
Summoning-Stronghold,15,15,1,294,0.05102040816326531,0.032404297584328084,0.037280897982976686,2014-07-08,4.039415993004854,122,Black Metal
Skid-Row-Slave-to-the-Grind,9,9,1,121,0.0743801652892562,0.040805271389069225,0.04161167001221743,2015-03-15,3.964987928521691,123,Heavy Metal
Kamelot-Karma,9,8,1.125,172,0.05232558139534884,0.028441895383428385,0.029543368960983196,2016-05-31,3.9185405387108907,124,Power Metal
Vektor-Black-Future,14,14,1,408,0.03431372549019608,0.02130536586570763,0.025622141601685154,2014-12-27,3.5461662265124585,125,Thrash Metal
Toxik-Think-This,27,26,1.0384615384615385,828,0.03260869565217391,0.023400866409778655,0.028388974813801912,2014-07-07,3.493928854172016,126,Thrash Metal
Neurosis-Times-of-Grace,34,27,1.2592592592592593,1332,0.025525525525525526,0.0190187286236174,0.022979540071647014,2014-01-07,3.3912526245661776,127,Post Metal
Judas-Priest-Defenders-of-the-Faith,20,20,1,451,0.04434589800443459,0.030075556428437903,0.03689619606555794,2014-11-21,3.3598155744333704,128,Heavy Metal
Children-of-Bodom-Hatebreeder,15,15,1,409,0.03667481662591687,0.023205837985506777,0.028499421106615064,2013-03-02,3.34373676739444,129,Melodic Death Metal
Kreator-Terrible-Certainty,6,6,1,86,0.06976744186046512,0.03221967262025588,0.031655921863062764,2013-12-04,3.2775907197766023,130,Thrash Metal
Slayer-Seasons-in-the-Abyss,29,25,1.16,864,0.03356481481481482,0.024394477058229558,0.029846786334444254,2014-05-10,3.212376607040168,131,Thrash Metal
Emperor-Anthems-to-the-Welkin-at-Dusk,9,9,1,186,0.04838709677419355,0.026257220312590326,0.03129476713257711,2014-09-29,3.1791733133406574,132,Black Metal
Between-the-Buried-and-Me-Alaska,24,19,1.263157894736842,2120,0.011320754716981131,0.007917376890093086,0.00982136231877152,2011-08-21,3.1787118842043767,133,Progressive Metal
Summoning-Oath-Bound,11,11,1,269,0.040892193308550186,0.023699242169152306,0.02912681552877765,2012-08-01,3.164886622758812,134,Black Metal
Paysage-dHiver-Paysage-dHiver,16,14,1.1428571428571428,584,0.0273972602739726,0.017580195717363023,0.022150194465244404,2014-03-28,3.0642864322972674,135,Black Metal
Suffocation-Effigy-of-the-Forgotten,40,35,1.1428571428571428,872,0.045871559633027525,0.0351161633709178,0.0424624077035621,2016-04-05,2.9727804824938526,136,Death Metal
Gamma-Ray-Land-of-the-Free,5,5,1,94,0.05319148936170213,0.02194693124670738,0.022495639455469313,2014-01-21,2.8854098911858848,137,Power Metal
Sodom-M-16,13,13,1,423,0.030732860520094562,0.018672780822100197,0.023948420599488925,2012-03-01,2.8698180864161844,138,Thrash Metal
Slayer-South-of-Heaven,14,14,1,420,0.03333333333333333,0.02069099892968489,0.026501730407789355,2013-01-12,2.8692732287284706,139,Thrash Metal
Edge-of-Sanity-Purgatory-Afterglow,9,9,1,378,0.023809523809523808,0.012784514431048676,0.016225894517351264,2012-06-13,2.8666118724412217,140,Melodic Death Metal
Sepultura-Chaos-A.D.,6,5,1.2,75,0.08,0.03720047535613345,0.042886893761644826,2017-04-21,2.783482967876638,141,Thrash Metal
Dissection-The-Somberlain,8,8,1,151,0.052980132450331126,0.027538637867249943,0.03458333076723921,2014-08-11,2.777917054146879,142,Black Metal
Eyehategod-Dopesick,6,5,1.2,192,0.03125,0.014046374361763748,0.016810818610620518,2013-11-08,2.7723228267608606,143,Sludge Metal
Watchtower-Control-and-Resistance,7,7,1,299,0.023411371237458192,0.011306183316745133,0.014215030873777129,2012-08-17,2.749705768740638,144,Progressive Metal
Windir-1184,6,6,1,152,0.039473684210526314,0.017848445146940464,0.021420409798337998,2011-10-10,2.744097710652624,145,Black Metal
Symphony-X-The-Odyssey,5,5,1,151,0.033112582781456956,0.013406967488062388,0.015042328643245294,2014-08-27,2.7286083748699608,146,Progressive Metal
Triptykon-Eparistera-Daimones,10,10,1,106,0.09433962264150944,0.05405171395776836,0.06870914265185481,2014-03-25,2.7168308789033913,147,Doom Metal
Godflesh-Pure,4,4,1,96,0.041666666666666664,0.014531006028696482,0.014481730539955766,2016-03-27,2.6097538681642463,148,Industrial
Slayer-Hell-Awaits,15,15,1,380,0.039473684210526314,0.02499512481291807,0.03260978484428063,2014-07-15,2.608281759173361,149,Thrash Metal
